City_ID,City,Country,Datetime,Lat,Lng,Temperature,Humidity,Cloud Coverage,Wind Speed
0,taolanaro,IN,2020-04-15 04:32:38,21.12,70.12,91.38,35.0,18.0,11.97
1,mangrol,GB,2020-04-15 04:32:38,54.33,-2.75,41.0,80.0,90.0,1.99
2,kendal,MV,2020-04-15 04:32:38,-0.6,73.08,84.97,65.0,34.0,1.86
3,hithadhoo,CN,2020-04-15 04:32:38,45.55,131.88,54.39,34.0,0.0,10.07
4,tabiauea,GL,2020-04-15 04:32:38,65.61,-37.64,24.8,68.0,2.0,1.12
5,mishan,US,2020-04-15 04:30:22,22.08,-159.32,78.8,94.0,40.0,6.93
6,tasiilaq,EC,2020-04-15 04:32:39,-0.74,-90.35,79.0,92.0,98.0,3.0
7,samusu,ZA,2020-04-15 04:32:39,-33.92,25.57,60.8,93.0,90.0,5.82
8,kapaa,PG,2020-04-15 04:32:39,-10.62,150.67,83.93,77.0,4.0,10.65
9,puerto ayora,CA,2020-04-15 04:32:39,63.75,-68.51,17.6,61.0,75.0,10.29
10,port elizabeth,PF,2020-04-15 04:32:39,-23.12,-134.97,75.96,65.0,34.0,4.68
11,aflu,PT,2020-04-15 04:23:20,33.08,-16.33,60.8,67.0,75.0,16.11
12,samarai,BR,2020-04-15 04:29:45,-24.79,-50.01,52.66,65.0,0.0,2.93
13,iqaluit,RU,2020-04-15 04:23:11,51.71,143.23,30.9,94.0,100.0,14.9
14,rikitea,CA,2020-04-15 04:22:40,62.46,-114.35,30.2,68.0,75.0,12.75
15,camacha,CD,2020-04-15 04:32:40,-11.66,27.48,66.16,66.0,94.0,2.51
16,castro,IN,2020-04-15 04:32:40,25.55,80.72,104.16,14.0,75.0,6.58
17,katangli,HN,2020-04-15 04:32:40,15.37,-87.93,74.97,75.0,3.0,1.25
18,yellowknife,CL,2020-04-15 04:30:23,-53.15,-70.92,46.4,87.0,75.0,9.17
19,lubumbashi,NZ,2020-04-15 04:32:40,-46.19,168.86,48.99,92.0,100.0,5.99
20,baberu,MX,2020-04-15 04:22:46,22.89,-109.91,72.0,45.0,5.0,9.73
21,la sabana,ML,2020-04-15 04:23:14,22.68,-3.98,70.16,64.0,100.0,12.77
22,punta arenas,US,2020-04-15 04:27:55,19.73,-155.09,77.0,69.0,90.0,5.82
23,mataura,ZA,2020-04-15 04:32:41,-34.42,19.23,57.0,80.0,93.0,1.01
24,cabo san lucas,GL,2020-04-15 04:22:59,72.79,-56.15,20.41,92.0,97.0,4.32
25,taoudenni,SB,2020-04-15 04:21:25,-9.43,159.95,86.0,79.0,75.0,2.66
26,hilo,BB,2020-04-15 04:28:08,13.07,-59.53,78.8,74.0,40.0,13.87
27,attawapiskat,MM,2020-04-15 04:32:42,17.3,97.02,95.92,31.0,53.0,7.18
28,hermanus,RU,2020-04-15 04:22:44,69.7,170.31,13.5,91.0,27.0,2.48
29,upernavik,US,2020-04-15 04:18:55,34.64,-120.46,61.0,87.0,1.0,10.49
30,honiara,ID,2020-04-15 04:18:49,-3.8,102.27,85.01,71.0,92.0,1.14
31,oistins,CK,2020-04-15 04:32:42,-21.21,-159.78,78.8,69.0,86.0,3.36
32,kyaikto,JP,2020-04-15 04:23:19,35.73,140.83,72.0,39.0,75.0,13.87
33,pevek,ZA,2020-04-15 04:32:42,-33.02,27.91,60.8,93.0,75.0,13.87
34,lompoc,ZA,2020-04-15 04:32:43,-33.59,26.89,62.01,97.0,52.0,1.01
35,bengkulu,RU,2020-04-15 04:32:43,56.26,32.07,34.09,80.0,98.0,8.63
36,avarua,AU,2020-04-15 04:31:10,-41.07,145.92,61.0,84.0,100.0,3.0
37,hasaki,US,2020-04-15 04:32:43,42.1,-79.24,37.4,92.0,90.0,11.41
38,saleaula,CN,2020-04-15 04:28:17,22.55,114.07,78.01,56.0,97.0,6.71
39,east london,ZA,2020-04-15 04:32:43,-33.93,18.42,57.99,87.0,100.0,2.24
40,port alfred,TL,2020-04-15 04:32:44,-8.93,125.41,68.67,67.0,85.0,3.09
41,zapadnaya dvina,RU,2020-04-15 04:32:44,68.75,161.3,7.48,94.0,98.0,8.41
42,burnie,NO,2020-04-15 04:32:44,69.65,18.96,30.2,92.0,90.0,10.29
43,mys shmidta,AR,2020-04-15 04:32:44,-54.8,-68.3,46.4,75.0,40.0,5.35
44,belushya guba,RU,2020-04-15 04:32:44,45.48,133.42,53.6,37.0,0.0,11.56
45,jamestown,MY,2020-04-15 04:32:45,5.41,100.34,91.4,66.0,20.0,5.82
46,shenzhen,AU,2020-04-15 04:22:45,-34.73,135.87,77.36,28.0,100.0,17.72
47,cape town,KI,2020-04-15 04:32:45,3.07,172.79,83.55,80.0,45.0,15.1
48,airai,BR,2020-04-15 04:32:45,-22.97,-42.03,75.2,88.0,20.0,12.75
49,cherskiy,MU,2020-04-15 04:32:45,-20.34,57.76,79.0,78.0,75.0,14.99
50,tromso,US,2020-04-15 04:30:01,42.6,-73.97,43.0,38.0,90.0,8.9
51,ushuaia,IN,2020-04-15 04:32:45,27.22,77.48,103.39,10.0,100.0,7.0
52,lesozavodsk,NO,2020-04-15 04:32:46,67.67,12.69,33.8,75.0,40.0,3.36
53,georgetown,RE,2020-04-15 04:32:46,-21.36,55.77,78.8,83.0,75.0,18.34
54,port lincoln,US,2020-04-15 04:30:27,41.28,-70.1,48.2,93.0,90.0,8.05
55,butaritari,PT,2020-04-15 04:32:46,40.16,-8.33,54.0,87.0,40.0,11.41
56,arraial do cabo,IT,2020-04-15 04:32:46,46.62,10.7,37.99,80.0,5.0,3.36
57,bambous virieux,CA,2020-04-15 04:32:47,53.92,-122.75,41.0,75.0,90.0,14.99
58,albany,US,2020-04-15 04:30:00,57.79,-152.41,42.8,87.0,90.0,6.93
59,bharatpur,ZA,2020-04-15 04:32:47,-34.53,20.04,55.4,93.0,78.0,3.36
60,sorland,RU,2020-04-15 04:32:47,71.69,128.87,6.22,93.0,100.0,14.09
61,saint-philippe,PT,2020-04-15 04:32:47,38.52,-28.7,55.22,71.0,76.0,23.11
62,nantucket,AU,2020-04-15 04:32:47,-24.87,113.63,82.4,48.0,48.0,23.04
63,lata,DO,2020-04-15 04:32:48,19.77,-70.52,77.0,88.0,20.0,4.7
64,lasa,CA,2020-04-15 04:23:04,50.2,-66.38,34.0,47.0,20.0,10.29
65,prince george,MX,2020-04-15 04:32:48,18.7,-95.5,79.12,87.0,60.0,9.01
66,kodiak,US,2020-04-15 04:21:07,36.85,-75.98,54.0,76.0,90.0,4.7
67,bredasdorp,US,2020-04-15 04:32:48,41.17,-81.2,36.0,50.0,1.0,6.93
68,tiksi,RU,2020-04-15 04:32:49,65.99,57.53,31.32,99.0,91.0,6.17
69,ribeira grande,AR,2020-04-15 04:32:49,-42.77,-65.04,58.35,68.0,97.0,19.73
70,carnarvon,PF,2020-04-15 04:32:49,-9.8,-139.03,82.53,67.0,32.0,4.97
71,sosua,CA,2020-04-15 04:32:49,69.45,-133.04,21.2,92.0,75.0,9.17
72,sept-iles,BR,2020-04-15 04:23:00,-30.18,-50.21,61.21,73.0,42.0,20.65
73,mundo nuevo,CF,2020-04-15 04:32:49,4.99,19.96,78.94,69.0,7.0,3.42
74,virginia beach,CA,2020-04-15 04:28:08,55.74,-97.86,6.8,55.0,5.0,3.36
75,portage,GH,2020-04-15 04:32:50,4.88,-1.76,80.67,85.0,53.0,5.03
76,usinsk,ID,2020-04-15 04:32:50,-6.88,112.21,87.53,65.0,13.0,5.06
77,puerto madryn,NZ,2020-04-15 04:32:50,-46.6,168.33,48.99,92.0,100.0,5.99
78,atuona,RU,2020-04-15 04:29:05,69.38,178.42,15.1,93.0,100.0,3.65
79,tuktoyaktuk,UZ,2020-04-15 04:32:50,40.43,71.72,51.8,87.0,75.0,6.93
80,cidreira,AU,2020-04-15 04:32:51,-33.65,115.33,73.0,34.0,36.0,14.97
81,kouango,AO,2020-04-15 04:32:51,-8.19,15.38,66.33,69.0,97.0,2.1
82,thompson,US,2020-04-15 04:32:51,71.29,-156.79,10.4,92.0,90.0,17.22
83,takoradi,GL,2020-04-15 04:32:51,77.48,-69.36,11.43,92.0,100.0,2.8
84,labuhan,RU,2020-04-15 04:32:51,59.7,30.79,35.01,82.0,90.0,4.47
85,bluff,CN,2020-04-15 04:32:51,24.19,102.82,79.83,14.0,0.0,13.27
86,leningradskiy,GL,2020-04-15 04:32:51,64.18,-51.72,28.4,63.0,97.0,14.99
87,komsomolskiy,MZ,2020-04-15 04:32:52,-23.86,35.38,78.8,88.0,40.0,8.05
88,busselton,AU,2020-04-15 04:32:52,-42.78,147.06,61.0,93.0,90.0,8.05
89,camabatela,RU,2020-04-15 04:32:52,71.92,114.08,1.27,91.0,99.0,10.56
90,barrow,BR,2020-04-15 04:32:52,-15.86,-38.88,73.4,94.0,40.0,5.82
